group,n,R@1,R@5,R@10,R@20,R@50,R@100,MRR@10
all,552,0.0199,0.0471,0.067,0.0779,0.1123,0.1341,0.033
english,333,0.0,0.0,0.0,0.003,0.006,0.006,0.0
bengali,108,0.0926,0.1852,0.25,0.2685,0.3519,0.3889,0.1364
mixed,111,0.009,0.0541,0.0901,0.1171,0.1982,0.2703,0.0312
