group,n,R@1,R@5,R@10,R@20,R@50,R@100,MRR@10
all,480,0.0167,0.0333,0.0542,0.0646,0.0813,0.1,0.0244
english,301,0.0,0.0,0.0033,0.0033,0.0033,0.0066,0.0003
bengali,98,0.0612,0.1224,0.2041,0.2347,0.2755,0.3265,0.0902
mixed,81,0.0247,0.0494,0.0617,0.0864,0.1358,0.1728,0.0342
