group,n,R@1,R@5,R@10,R@20,R@50,R@100,MRR@10
all,480,0.0167,0.0312,0.0479,0.0646,0.0771,0.1021,0.0234
english,301,0.0,0.0,0.0,0.0033,0.0066,0.0066,0.0
bengali,98,0.0612,0.1224,0.1837,0.2347,0.2755,0.3265,0.0894
mixed,81,0.0247,0.037,0.0617,0.0864,0.0988,0.1852,0.0304
