group,n,R@1,R@5,R@10,R@20,R@50,R@100,MRR@10
all,480,0.0042,0.0125,0.0292,0.0354,0.0542,0.0708,0.0092
english,301,0.0,0.0,0.0033,0.0033,0.0033,0.0033,0.0006
bengali,98,0.0102,0.051,0.102,0.1327,0.1939,0.2653,0.0312
mixed,81,0.0123,0.0123,0.037,0.037,0.0741,0.0864,0.0148
