group,n,R@1,R@5,R@10,R@20,R@50,R@100,MRR@10
all,552,0.1322,0.2699,0.346,0.413,0.538,0.6069,0.1897
english,333,0.0871,0.1862,0.2312,0.2793,0.4084,0.4985,0.1269
bengali,108,0.2593,0.4722,0.5741,0.6759,0.7778,0.7963,0.3507
mixed,111,0.1441,0.3243,0.4685,0.5586,0.6937,0.7477,0.2214
