group,n,R@1,R@5,R@10,R@20,R@50,R@100,MRR@10
all,480,0.1292,0.2812,0.3521,0.4333,0.55,0.6271,0.1921
english,301,0.0963,0.2193,0.2658,0.3455,0.4651,0.5216,0.1452
bengali,98,0.2551,0.449,0.551,0.6224,0.7347,0.8469,0.339
mixed,81,0.0988,0.3086,0.4321,0.5309,0.642,0.7531,0.1888
