group,n,R@1,R@5,R@10,R@20,R@50,R@100,MRR@10
all,552,0.1322,0.2717,0.3424,0.4185,0.5399,0.6069,0.19
english,333,0.0931,0.1742,0.2192,0.2733,0.4024,0.4985,0.1284
bengali,108,0.2222,0.4815,0.5741,0.6389,0.7685,0.7963,0.3295
mixed,111,0.1622,0.3604,0.4865,0.6396,0.7297,0.7477,0.239
