group,n,R@1,R@5,R@10,R@20,R@50,R@100,MRR@10
all,552,0.0217,0.0399,0.0616,0.0725,0.1014,0.1214,0.0312
english,333,0.0,0.0,0.0,0.006,0.006,0.006,0.0
bengali,108,0.1019,0.1759,0.2407,0.25,0.3333,0.3889,0.1376
mixed,111,0.009,0.027,0.0721,0.0991,0.1622,0.2072,0.0214
