group,n,R@1,R@5,R@10,R@20,R@50,R@100,MRR@10
all,480,0.0792,0.2396,0.3229,0.3896,0.5104,0.6,0.1494
english,301,0.0332,0.1262,0.1927,0.2525,0.3721,0.4618,0.0732
bengali,98,0.1837,0.4694,0.5612,0.6429,0.7551,0.8673,0.307
mixed,81,0.1235,0.3827,0.5185,0.5926,0.7284,0.7901,0.2417
