group,n,R@1,R@5,R@10,R@20,R@50,R@100,MRR@10
all,480,0.0979,0.2333,0.3354,0.4188,0.5229,0.6062,0.1571
english,301,0.0797,0.1661,0.2625,0.3422,0.4651,0.5249,0.1217
bengali,98,0.1837,0.4184,0.5204,0.602,0.6735,0.7959,0.2749
mixed,81,0.0617,0.2593,0.3827,0.4815,0.5556,0.679,0.1459
