group,n,R@1,R@5,R@10,R@20,R@50,R@100,MRR@10
all,552,0.0833,0.2192,0.3297,0.4149,0.5562,0.6576,0.1419
english,333,0.024,0.1111,0.2012,0.2823,0.4204,0.5495,0.0619
bengali,108,0.1759,0.4352,0.5463,0.6019,0.7407,0.7963,0.2818
mixed,111,0.1712,0.3333,0.5045,0.6306,0.7838,0.8468,0.246
