run,colloquial_R@1,colloquial_R@5,colloquial_R@10,colloquial_n,formal_R@1,formal_R@5,formal_R@10,formal_n,gap_R@1,gap_R@5,gap_R@10
bm25_default_v2,0.018,0.0338,0.0563,444,0.0,0.0278,0.0278,36,-0.018,-0.006,-0.0285
word2vec_v2,0.0045,0.0135,0.0315,444,0.0,0.0,0.0,36,-0.0045,-0.0135,-0.0315
bilstm_v2,0.0045,0.0068,0.0068,444,0.0,0.0278,0.0278,36,-0.0045,0.021,0.021
bge_m3_zeroshot_v2,0.1059,0.2455,0.3468,444,0.0,0.0833,0.1944,36,-0.1059,-0.1622,-0.1524
bge_m3_acttitle_v2,0.1396,0.295,0.3626,444,0.0,0.1111,0.2222,36,-0.1396,-0.1839,-0.1404
bge_m3_attempt4_v2,0.0811,0.241,0.3243,444,0.0556,0.2222,0.3056,36,-0.0255,-0.0188,-0.0187
