group,n,R@1,R@5,R@10,R@20,R@50,R@100,MRR@10
all,480,0.0042,0.0083,0.0083,0.0104,0.025,0.0458,0.0063
english,301,0.0033,0.0066,0.0066,0.0066,0.01,0.0266,0.005
bengali,98,0.0,0.0,0.0,0.0102,0.0612,0.0918,0.0
mixed,81,0.0123,0.0247,0.0247,0.0247,0.037,0.0617,0.0185
