group,n,R@1,R@5,R@10,R@20,R@50,R@100,MRR@10
all,552,0.0091,0.0344,0.0598,0.1105,0.2192,0.3134,0.0216
english,333,0.006,0.024,0.045,0.0961,0.2042,0.3033,0.0146
bengali,108,0.0278,0.0833,0.1204,0.1759,0.213,0.2778,0.0547
mixed,111,0.0,0.018,0.045,0.0901,0.2703,0.3784,0.0107
