group,n,R@1,R@5,R@10,R@20,R@50,R@100,MRR@10
all,552,0.1087,0.2572,0.3496,0.4366,0.5598,0.6395,0.1748
english,333,0.0691,0.1742,0.2492,0.3183,0.4535,0.5465,0.1175
bengali,108,0.2222,0.4444,0.5463,0.6759,0.75,0.8056,0.3225
mixed,111,0.1171,0.3243,0.4595,0.5586,0.6937,0.7568,0.203
