run,n,R@1,R@5,R@10,MRR@10
bm25_tuned,552,0.0217,0.0399,0.0616,0.0312
bge_m3_zeroshot,552,0.096,0.2391,0.3243,0.1561
bge_m3_acttitle,552,0.1322,0.2699,0.346,0.1897
bge_m3_acttitle_rerank,552,0.1322,0.2717,0.3424,0.19
bge_m3_finetuned_anchor_v3,552,0.1087,0.2572,0.3496,0.1748
