group,n,R@1,R@5,R@10,R@20,R@50,R@100,MRR@10
all,552,0.096,0.2391,0.3243,0.413,0.5344,0.6268,0.1561
english,333,0.0541,0.1592,0.2222,0.2883,0.4294,0.5315,0.0982
bengali,108,0.213,0.4259,0.5463,0.6852,0.7407,0.8056,0.305
mixed,111,0.1081,0.2973,0.4144,0.5225,0.6486,0.7387,0.1846
